"Filing Date","Ticker","Insider","Role","Transaction Type","Shares","Price","Value","Ownership","Form"
"2026-02-03","NVDA","Jen-Hsun Huang","CEO","BUY","10000","$680.00","$6800000","Direct","Form 4"
"2026-02-03","NVDA","Debora Shoquist","EVP Operations","BUY","1500","$682.15","$1023225","Direct","Form 4"
"2026-02-04","TSLA","Vaibhav Taneja","CFO","SELL","4000","$232.50","$930000","Direct","Form 4"
"2026-02-04","AAPL","Katherine Adams","SVP","BUY","2500","$186.10","$465250","Direct","Form 4"
"2026-02-05","MSFT","Satya Nadella","CEO","SELL","3000","$412.30","$1236900","Indirect","Form 4"
"2026-02-05","PLTR","Alexander Karp","CEO","BUY","7000","$27.90","$195300","Direct","Form 4"
"2026-02-06","AMD","Lisa Su","CEO","BUY","3200","$165.20","$528640","Direct","Form 4"
"2026-02-06","AMD","Victor Peng","President","BUY","900","$164.90","$148410","Direct","Form 4"
"2026-02-10","AMZN","Andrew Jassy","CEO","SELL","5000","$171.40","$857000","Indirect","Form 4"
"2026-02-10","META","Susan Li","CFO","BUY","1800","$510.00","$918000","Direct","Form 4"
"2026-02-11","GOOGL","Ruth Porat","President","SELL","2600","$154.60","$401960","Indirect","Form 4"
"2026-02-11","NFLX","Spencer Neumann","CFO","BUY","750","$612.00","$459000","Direct","Form 4"
"2026-02-12","UBER","Prashanth Mahendra-Rajah","CFO","BUY","10000","$82.30","$823000","Direct","Form 4"
"2026-02-12","COIN","Alesia Haas","CFO","SELL","1200","$214.50","$257400","Direct","Form 4"
"2026-02-13","SMCI","David Weigand","CFO","BUY","640","$898.00","$574720","Direct","Form 4"
"2026-02-13","SMCI","Charles Liang","CEO","BUY","1200","$901.40","$1081680","Direct","Form 4"
"2026-02-17","TSLA","Robyn Denholm","Chair","SELL","3000","$240.20","$720600","Indirect","Form 4"
"2026-02-18","AAPL","Luca Maestri","CFO","SELL","1800","$189.90","$341820","Direct","Form 4"
"2026-02-19","PLTR","Stephen Cohen","President","BUY","4000","$28.50","$114000","Direct","Form 4"
"2026-02-20","NVDA","Colette Kress","CFO","BUY","2000","$701.10","$1402200","Direct","Form 4"
